CustomerID,VehicleID,VehicleModel,VehicleYOM,VehicleMake
Cust10000,Vehicle26917,A5,2008,Audi
Cust10001,Vehicle15893,A5,2006,Audi
Cust10002,Vehicle5152,Jetta,1999,Volkswagen
Cust10003,Vehicle37363,Jetta,2003,Volkswagen
Cust10004,Vehicle28633,CRV,2010,Toyota
Cust10005,Vehicle26409,CRV,2011,Toyota
Cust10006,Vehicle12114,C300,2000,Mercedes
Cust10007,Vehicle26987,C300,2010,Suburu
Cust10009,Vehicle12490,Passat,1995,Volkswagen
Cust1001,Vehicle28516,92x,2004,Saab
Cust10011,Vehicle8940,Ultima,2002,Nissan
Cust10012,Vehicle9379,Fusion,2004,Ford
Cust10013,Vehicle22024,Fusion,2001,Accura
Cust10014,Vehicle3601,Impreza,2011,Suburu
Cust10016,Vehicle7515,92x,2005,Saab
Cust10017,Vehicle31838,92x,2005,Saab
Cust10018,Vehicle35954,93,2000,Toyota
Cust10019,Vehicle19647,93,2000,Saab
Cust10021,Vehicle37694,Passat,2006,Volkswagen
Cust10022,Vehicle31889,Highlander,1997,Toyota
Cust10023,Vehicle10464,Highlander,1999,Toyota
Cust10024,Vehicle24452,X5,2001,Dodge
Cust10025,Vehicle12734,X5,2002,Dodge
Cust10026,Vehicle14492,Passat,2001,Volkswagen
Cust10027,Vehicle38970,Passat,1995,Saab
Cust10028,Vehicle3996,Accord,2015,Honda
Cust10029,Vehicle12477,Corolla,2015,Toyota
Cust10030,Vehicle34293,Forrestor,2006,Ford
Cust10031,Vehicle33775,F150,2005,Suburu
Cust10032,Vehicle34708,Pathfinder,2012,Nissan
Cust10034,Vehicle26030,92x,2006,Saab
Cust10035,Vehicle3961,Jetta,2007,Saab
Cust10037,Vehicle38667,Neon,2012,Dodge
Cust1004,Vehicle17051,Tahoe,2014,Chevrolet
Cust10040,Vehicle7284,Wrangler,2007,Audi
Cust10041,Vehicle2119,A3,2008,Jeep
Cust10042,Vehicle7459,A5,1997,Accura
Cust10043,Vehicle6244,RSX,2010,Accura
Cust10044,Vehicle38446,Malibu,1998,Chevrolet
Cust10046,Vehicle3199,A5,2011,Audi
Cust10047,Vehicle13780,A5,2009,Audi
Cust10049,Vehicle35318,F150,2008,Ford
Cust1005,Vehicle26158,RSX,2009,Accura
